Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AcceptChangeRequestByCustomer,,,,2019-08-20 14:44:26,2019-08-20 14:44:31,5.199s,INCOMPLETE
,,,,,,,
Test Cases/Workilo/Bookings/Customer/PlaceOrderBySearchTestMode,,,,2019-08-20 14:44:27,2019-08-20 14:44:28,0.941s,ERROR
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 14:44:28,2019-08-20 14:44:28,0.008s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/ServiceProvider/New Booking Order,,,,2019-08-20 14:44:28,2019-08-20 14:44:28,0.609s,ERROR
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 14:44:28,2019-08-20 14:44:28,0.003s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/ServiceProvider/InboxSubmitChanges,,,,2019-08-20 14:44:28,2019-08-20 14:44:29,0.467s,ERROR
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 14:44:29,2019-08-20 14:44:29,0.001s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/Customer/AcceptChanges,,,,2019-08-20 14:44:29,2019-08-20 14:44:29,0.410s,ERROR
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 14:44:29,2019-08-20 14:44:29,0.003s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/Customer/CustomerInbox,,,,2019-08-20 14:44:29,2019-08-20 14:44:30,0.399s,ERROR
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 14:44:30,2019-08-20 14:44:30,0.001s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/ServiceProvider/Order Completed,,,,2019-08-20 14:44:30,2019-08-20 14:44:30,0.505s,ERROR
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 14:44:30,2019-08-20 14:44:30,0.001s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/Customer/CustomerOrderCompletedOrder,,,,2019-08-20 14:44:30,2019-08-20 14:44:31,0.500s,ERROR
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 14:44:31,2019-08-20 14:44:31,0.004s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/Customer/TransactionHistory,,,,2019-08-20 14:44:31,2019-08-20 14:44:31,0.406s,ERROR
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 14:44:31,2019-08-20 14:44:31,0.003s,PASSED
