Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Block-UnblockDateByServiceProvider,,,,2019-08-20 13:40:01,2019-08-20 13:40:42,41.130s,INCOMPLETE
,,,,,,,
Test Cases/Workilo/Bookings/ServiceProvider/BlockUnblockDateByServiceProvider,,,,2019-08-20 13:40:02,2019-08-20 13:40:42,40.364s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 13:40:03,2019-08-20 13:40:03,0.012s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-20 13:40:03,2019-08-20 13:40:07,3.683s,PASSED
window().maximize(),,,,2019-08-20 13:40:07,2019-08-20 13:40:08,1.195s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-20 13:40:08,2019-08-20 13:40:20,11.651s,PASSED
"timeouts().implicitlyWait(30, SECONDS)",,,,2019-08-20 13:40:20,2019-08-20 13:40:20,0.028s,PASSED
try,,,,2019-08-20 13:40:20,2019-08-20 13:40:41,21.260s,PASSED
catch (Exception e),,,,2019-08-20 13:40:41,2019-08-20 13:40:42,1.153s,PASSED
