Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Bookings,,,,2019-08-19 20:00:35,2019-08-19 20:02:54,2m - 18.726s,INCOMPLETE
,,,,,,,
Test Cases/Workilo/Bookings/ServiceProvider/InboxAcceptOrder,,,,2019-08-19 20:00:36,2019-08-19 20:01:56,1m - 20.544s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-19 20:00:37,2019-08-19 20:00:37,0.023s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-19 20:00:37,2019-08-19 20:00:40,3.770s,PASSED
window().maximize(),,,,2019-08-19 20:00:40,2019-08-19 20:00:42,1.184s,PASSED
try,,,,2019-08-19 20:00:42,2019-08-19 20:01:56,1m - 14.518s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/ServiceProvider/InboxVerifyMessageDetail,,,,2019-08-19 20:01:56,2019-08-19 20:02:54,57.581s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-19 20:01:57,2019-08-19 20:01:57,0.003s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-19 20:01:57,2019-08-19 20:01:59,2.324s,PASSED
window().maximize(),,,,2019-08-19 20:01:59,2019-08-19 20:02:00,1.157s,PASSED
try,,,,2019-08-19 20:02:00,2019-08-19 20:02:52,51.912s,PASSED
catch (Exception e),,,,2019-08-19 20:02:52,2019-08-19 20:02:54,1.724s,PASSED
