Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Homepage Verification,,,,2019-08-17 21:18:45,2019-08-17 21:19:03,18.459s,INCOMPLETE
,,,,,,,
Test Cases/Workilo/HomePage/TitleVerification,,,,2019-08-17 21:18:45,2019-08-17 21:19:03,17.852s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-17 21:18:46,2019-08-17 21:18:46,0.006s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-17 21:18:46,2019-08-17 21:18:50,4.121s,PASSED
window().maximize(),,,,2019-08-17 21:18:50,2019-08-17 21:18:51,1.213s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-17 21:18:51,2019-08-17 21:18:59,8.156s,PASSED
actualTitle = driver.getTitle(),,,,2019-08-17 21:18:59,2019-08-17 21:18:59,0.017s,PASSED
"expectedTitle = ""Workilo :: Home Improvement And Renovation Services in Brooklyn by Workilo""",,,,2019-08-17 21:18:59,2019-08-17 21:18:59,0.001s,PASSED
"Assert.assertEquals(actualTitle, expectedTitle, ""Title didn't match."")",,,,2019-08-17 21:18:59,2019-08-17 21:18:59,0.019s,PASSED
Thread.sleep(3000),,,,2019-08-17 21:18:59,2019-08-17 21:19:02,3.012s,PASSED
driver.quit(),,,,2019-08-17 21:19:02,2019-08-17 21:19:03,0.735s,PASSED
