Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ServiceProivderSignUp,,,,2019-08-20 16:30:27,2019-08-20 16:34:13,3m - 46.075s,INCOMPLETE
,,,,,,,
Test Cases/Workilo/Sign Up/RegistrationValidation/InvalidEmailIdLogin,,,,2019-08-20 16:30:28,2019-08-20 16:30:54,26.268s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 16:30:29,2019-08-20 16:30:29,0.006s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-20 16:30:29,2019-08-20 16:30:32,3.685s,PASSED
window().maximize(),,,,2019-08-20 16:30:32,2019-08-20 16:30:33,1.181s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-20 16:30:33,2019-08-20 16:30:47,13.039s,PASSED
"timeouts().implicitlyWait(30, SECONDS)",,,,2019-08-20 16:30:47,2019-08-20 16:30:47,0.026s,PASSED
try,,,,2019-08-20 16:30:47,2019-08-20 16:30:53,6.728s,PASSED
driver.quit(),,,,2019-08-20 16:30:53,2019-08-20 16:30:54,0.694s,PASSED
,,,,,,,
Test Cases/Workilo/Sign Up/RegistrationValidation/InvalidPwdLogin,,,,2019-08-20 16:30:54,2019-08-20 16:31:21,27.222s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 16:30:54,2019-08-20 16:30:54,0.002s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-20 16:30:54,2019-08-20 16:30:57,2.243s,PASSED
window().maximize(),,,,2019-08-20 16:30:57,2019-08-20 16:30:58,1.147s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-20 16:30:58,2019-08-20 16:31:13,15.279s,PASSED
"timeouts().implicitlyWait(30, SECONDS)",,,,2019-08-20 16:31:13,2019-08-20 16:31:13,0.007s,PASSED
try,,,,2019-08-20 16:31:13,2019-08-20 16:31:21,7.568s,PASSED
driver.quit(),,,,2019-08-20 16:31:21,2019-08-20 16:31:21,0.645s,PASSED
,,,,,,,
Test Cases/Workilo/Sign Up/RegistrationValidation/SignUpBlankValidation,,,,2019-08-20 16:31:21,2019-08-20 16:31:46,24.915s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 16:31:22,2019-08-20 16:31:22,0.002s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-20 16:31:22,2019-08-20 16:31:24,2.455s,PASSED
window().maximize(),,,,2019-08-20 16:31:24,2019-08-20 16:31:25,1.130s,PASSED
try,,,,2019-08-20 16:31:25,2019-08-20 16:31:45,20.338s,PASSED
driver.quit(),,,,2019-08-20 16:31:45,2019-08-20 16:31:46,0.695s,PASSED
,,,,,,,
Test Cases/Workilo/Sign Up/RegistrationValidation/SignUpValidationInvalidContact,,,,2019-08-20 16:31:46,2019-08-20 16:32:15,28.448s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 16:31:46,2019-08-20 16:31:46,0.002s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-20 16:31:46,2019-08-20 16:31:49,2.257s,PASSED
window().maximize(),,,,2019-08-20 16:31:49,2019-08-20 16:31:50,1.135s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-20 16:31:50,2019-08-20 16:32:02,12.048s,PASSED
"timeouts().implicitlyWait(30, SECONDS)",,,,2019-08-20 16:32:02,2019-08-20 16:32:02,0.005s,PASSED
try,,,,2019-08-20 16:32:02,2019-08-20 16:32:14,12.063s,PASSED
driver.quit(),,,,2019-08-20 16:32:14,2019-08-20 16:32:15,0.667s,PASSED
,,,,,,,
Test Cases/Workilo/Sign Up/RegistrationValidation/SignUpValidationInvalidEmail,,,,2019-08-20 16:32:15,2019-08-20 16:32:46,31.135s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 16:32:15,2019-08-20 16:32:15,0.001s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-20 16:32:15,2019-08-20 16:32:17,2.249s,PASSED
window().maximize(),,,,2019-08-20 16:32:17,2019-08-20 16:32:18,1.135s,PASSED
try,,,,2019-08-20 16:32:18,2019-08-20 16:32:45,26.565s,PASSED
driver.quit(),,,,2019-08-20 16:32:45,2019-08-20 16:32:46,0.932s,PASSED
,,,,,,,
Test Cases/Workilo/Sign Up/RegistrationValidation/SignUpValidationInvalidFirstLastName,,,,2019-08-20 16:32:46,2019-08-20 16:33:15,29.430s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 16:32:46,2019-08-20 16:32:46,0.002s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-20 16:32:46,2019-08-20 16:32:48,2.229s,PASSED
window().maximize(),,,,2019-08-20 16:32:48,2019-08-20 16:32:49,1.127s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-20 16:32:49,2019-08-20 16:33:02,12.963s,PASSED
try,,,,2019-08-20 16:33:02,2019-08-20 16:33:15,12.115s,PASSED
driver.quit(),,,,2019-08-20 16:33:15,2019-08-20 16:33:15,0.689s,PASSED
,,,,,,,
Test Cases/Workilo/Sign Up/RegistrationValidation/SignUpValidationInvalidPWD,,,,2019-08-20 16:33:15,2019-08-20 16:33:44,28.795s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 16:33:15,2019-08-20 16:33:15,0.002s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-20 16:33:15,2019-08-20 16:33:18,2.264s,PASSED
window().maximize(),,,,2019-08-20 16:33:18,2019-08-20 16:33:19,1.150s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-20 16:33:19,2019-08-20 16:33:31,12.403s,PASSED
try,,,,2019-08-20 16:33:31,2019-08-20 16:33:43,12.055s,PASSED
driver.quit(),,,,2019-08-20 16:33:43,2019-08-20 16:33:44,0.681s,PASSED
,,,,,,,
Test Cases/Workilo/Sign Up/ServProvSignUp,,,,2019-08-20 16:33:44,2019-08-20 16:34:13,29.276s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-20 16:33:44,2019-08-20 16:33:44,0.002s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-20 16:33:44,2019-08-20 16:33:47,2.268s,PASSED
window().maximize(),,,,2019-08-20 16:33:47,2019-08-20 16:33:48,1.137s,PASSED
try,,,,2019-08-20 16:33:48,2019-08-20 16:34:12,24.747s,PASSED
driver.quit(),,,,2019-08-20 16:34:12,2019-08-20 16:34:13,0.870s,PASSED
