Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ViewNewAcceptCancelAllBookingByCustomers,,,,2019-08-23 18:11:20,2019-08-23 18:19:49,8m - 28.900s,INCOMPLETE
,,,,,,,
Test Cases/Workilo/Bookings/Customer/CustomerNewOrder(All),,,,2019-08-23 18:11:21,2019-08-23 18:12:28,1m - 7.138s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-23 18:11:22,2019-08-23 18:11:22,0.003s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-23 18:11:22,2019-08-23 18:11:26,4.035s,PASSED
window().maximize(),,,,2019-08-23 18:11:26,2019-08-23 18:11:27,1.195s,PASSED
try,,,,2019-08-23 18:11:27,2019-08-23 18:12:28,1m - 0.793s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/Customer/CustomerALLOrders(All),,,,2019-08-23 18:12:28,2019-08-23 18:15:29,3m - 1.061s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-23 18:12:29,2019-08-23 18:12:29,0.000s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-23 18:12:29,2019-08-23 18:12:31,2.614s,PASSED
window().maximize(),,,,2019-08-23 18:12:31,2019-08-23 18:12:32,1.151s,PASSED
try,,,,2019-08-23 18:12:32,2019-08-23 18:15:29,2m - 56.675s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/Customer/CustomerAcceptedRequest(All),,,,2019-08-23 18:15:29,2019-08-23 18:16:15,46.055s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-23 18:15:30,2019-08-23 18:15:30,0.001s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-23 18:15:30,2019-08-23 18:15:32,2.251s,PASSED
window().maximize(),,,,2019-08-23 18:15:32,2019-08-23 18:15:33,1.160s,PASSED
try,,,,2019-08-23 18:15:33,2019-08-23 18:16:15,42.101s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/Customer/CancelOrder(All),,,,2019-08-23 18:16:15,2019-08-23 18:17:20,1m - 4.478s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-23 18:16:16,2019-08-23 18:16:16,0.000s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-23 18:16:16,2019-08-23 18:16:18,2.469s,PASSED
window().maximize(),,,,2019-08-23 18:16:18,2019-08-23 18:16:19,1.131s,PASSED
"driver.get(""http://workilo.com"")",,,,2019-08-23 18:16:19,2019-08-23 18:16:38,18.819s,PASSED
try,,,,2019-08-23 18:16:38,2019-08-23 18:17:20,41.671s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/Customer/CustomerDeclined(All),,,,2019-08-23 18:17:20,2019-08-23 18:18:02,41.881s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-23 18:17:20,2019-08-23 18:17:20,0.002s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-23 18:17:20,2019-08-23 18:17:22,2.456s,PASSED
window().maximize(),,,,2019-08-23 18:17:22,2019-08-23 18:17:24,1.139s,PASSED
try,,,,2019-08-23 18:17:24,2019-08-23 18:18:02,37.898s,PASSED
,,,,,,,
Test Cases/Workilo/Bookings/Customer/CustomerOrderCompleted(ALL),,,,2019-08-23 18:18:02,2019-08-23 18:19:49,1m - 47.673s,PASSED
"System.setProperty(""webdriver.chrome.driver"", chromePath)",,,,2019-08-23 18:18:02,2019-08-23 18:18:02,0.000s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(),,,,2019-08-23 18:18:02,2019-08-23 18:18:04,2.430s,PASSED
window().maximize(),,,,2019-08-23 18:18:04,2019-08-23 18:18:05,1.149s,PASSED
try,,,,2019-08-23 18:18:05,2019-08-23 18:19:49,1m - 43.721s,PASSED
